# Gene: 6420 (AT1G06240)
# Alignment columns: 1238
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	1
1	2
2	3
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	1
58	2
59	3
60	1
61	2
62	3
63	1
64	2
65	3
66	-
67	-
68	-
69	-
70	1
71	2
72	3
73	-
74	-
75	-
76	-
77	-
78	-
79	-
80	-
81	-
82	-
83	-
84	-
85	-
86	-
87	-
88	-
89	-
90	-
91	-
92	-
93	-
94	-
95	-
96	-
97	-
98	-
99	-
100	-
101	-
102	-
103	-
104	-
105	-
106	-
107	-
108	-
109	-
110	-
111	-
112	-
113	-
114	-
115	-
116	-
117	-
118	1
119	2
120	3
121	1
122	2
123	3
124	-
125	-
126	-
127	-
128	-
129	-
130	-
131	-
132	-
133	-
134	-
135	-
136	-
137	-
138	-
139	-
140	-
141	-
142	-
143	-
144	-
145	1
146	-
147	-
148	-
149	2
150	3
151	1
152	2
153	3
154	-
155	-
156	-
157	-
158	-
159	-
160	-
161	-
162	-
163	-
164	-
165	-
166	-
167	-
168	-
169	-
170	-
171	-
172	1
173	2
174	3
175	1
176	2
177	3
178	1
179	2
180	3
181	1
182	2
183	3
184	1
185	2
186	3
187	-
188	-
189	-
190	1
191	2
192	3
193	1
194	2
195	3
196	1
197	2
198	3
199	1
200	2
201	3
202	1
203	2
204	3
205	1
206	2
207	3
208	1
209	2
210	3
211	1
212	2
213	3
214	-
215	-
216	-
217	-
218	-
219	-
220	-
221	-
222	-
223	-
224	-
225	-
226	-
227	-
228	-
229	-
230	-
231	-
232	-
233	-
234	-
235	-
236	-
237	-
238	-
239	-
240	-
241	-
242	-
243	-
244	-
245	-
246	-
247	-
248	-
249	-
250	-
251	-
252	-
253	-
254	-
255	-
256	-
257	-
258	-
259	-
260	-
261	-
262	-
263	-
264	-
265	-
266	-
267	-
268	-
269	-
270	-
271	-
272	-
273	-
274	-
275	-
276	-
277	-
278	-
279	-
280	1
281	2
282	3
283	1
284	2
285	3
286	1
287	2
288	3
289	1
290	2
291	3
292	1
293	2
294	3
295	1
296	2
297	3
298	1
299	2
300	3
301	1
302	2
303	3
304	1
305	2
306	3
307	1
308	2
309	3
310	1
311	2
312	3
313	1
314	2
315	3
316	1
317	2
318	3
319	1
320	2
321	3
322	1
323	2
324	3
325	1
326	2
327	3
328	1
329	2
330	3
331	1
332	2
333	3
334	1
335	2
336	3
337	1
338	2
339	3
340	1
341	2
342	3
343	1
344	2
345	3
346	1
347	2
348	3
349	1
350	2
351	3
352	1
353	2
354	3
355	1
356	2
357	3
358	1
359	2
360	3
361	1
362	2
363	3
364	1
365	2
366	3
367	1
368	2
369	3
370	1
371	2
372	3
373	1
374	2
375	3
376	1
377	2
378	3
379	-
380	-
381	-
382	1
383	2
384	3
385	1
386	2
387	3
388	1
389	2
390	3
391	-
392	-
393	-
394	-
395	1
396	2
397	3
398	1
399	2
400	3
401	1
402	2
403	3
404	1
405	2
406	3
407	-
408	-
409	-
410	1
411	2
412	3
413	1
414	2
415	3
416	1
417	2
418	3
419	1
420	2
421	3
422	1
423	2
424	3
425	1
426	2
427	3
428	-
429	-
430	-
431	-
432	-
433	-
434	1
435	2
436	3
437	1
438	2
439	3
440	1
441	2
442	3
443	1
444	2
445	3
446	1
447	2
448	3
449	1
450	2
451	3
452	1
453	2
454	3
455	1
456	2
457	3
458	1
459	2
460	3
461	1
462	2
463	3
464	1
465	2
466	3
467	1
468	2
469	3
470	1
471	2
472	3
473	1
474	2
475	3
476	1
477	2
478	3
479	-
480	-
481	-
482	1
483	2
484	3
485	1
486	2
487	3
488	1
489	2
490	3
491	1
492	2
493	3
494	1
495	2
496	3
497	1
498	2
499	3
500	1
501	2
502	3
503	1
504	2
505	3
506	1
507	2
508	3
509	1
510	2
511	3
512	1
513	2
514	3
515	1
516	2
517	3
518	1
519	2
520	3
521	1
522	2
523	3
524	1
525	2
526	3
527	1
528	2
529	3
530	1
531	2
532	3
533	1
534	2
535	3
536	1
537	2
538	3
539	1
540	2
541	3
542	1
543	2
544	3
545	1
546	2
547	3
548	1
549	2
550	3
551	1
552	2
553	3
554	1
555	2
556	3
557	1
558	2
559	3
560	1
561	2
562	3
563	1
564	2
565	3
566	1
567	2
568	3
569	1
570	2
571	3
572	1
573	2
574	3
575	1
576	2
577	3
578	1
579	2
580	3
581	1
582	2
583	3
584	1
585	2
586	3
587	1
588	2
589	3
590	1
591	2
592	3
593	1
594	2
595	3
596	1
597	2
598	3
599	1
600	2
601	3
602	1
603	2
604	3
605	1
606	2
607	3
608	1
609	2
610	3
611	1
612	2
613	3
614	1
615	2
616	3
617	1
618	2
619	3
620	1
621	2
622	3
623	1
624	2
625	3
626	1
627	2
628	3
629	1
630	2
631	3
632	1
633	2
634	3
635	1
636	2
637	3
638	1
639	2
640	3
641	1
642	2
643	3
644	1
645	2
646	3
647	1
648	2
649	3
650	1
651	2
652	3
653	1
654	2
655	3
656	1
657	2
658	3
659	1
660	2
661	3
662	1
663	2
664	3
665	1
666	2
667	3
668	1
669	2
670	3
671	1
672	2
673	3
674	1
675	2
676	3
677	1
678	2
679	3
680	1
681	2
682	3
683	1
684	2
685	3
686	1
687	2
688	3
689	1
690	2
691	3
692	1
693	2
694	3
695	1
696	2
697	3
698	1
699	2
700	3
701	1
702	2
703	3
704	1
705	2
706	3
707	1
708	2
709	3
710	1
711	2
712	3
713	1
714	2
715	3
716	1
717	2
718	3
719	1
720	2
721	3
722	1
723	2
724	3
725	1
726	2
727	3
728	1
729	2
730	3
731	1
732	2
733	3
734	1
735	2
736	3
737	1
738	2
739	3
740	1
741	2
742	3
743	1
744	2
745	3
746	1
747	2
748	3
749	1
750	2
751	3
752	1
753	2
754	3
755	1
756	2
757	3
758	1
759	2
760	3
761	1
762	2
763	3
764	1
765	2
766	3
767	1
768	2
769	3
770	1
771	2
772	3
773	1
774	2
775	3
776	1
777	2
778	3
779	1
780	2
781	3
782	1
783	2
784	3
785	1
786	2
787	3
788	1
789	2
790	3
791	1
792	2
793	3
794	1
795	2
796	3
797	1
798	2
799	3
800	1
801	2
802	3
803	1
804	2
805	3
806	1
807	2
808	3
809	1
810	2
811	3
812	1
813	2
814	3
815	1
816	2
817	3
818	1
819	2
820	3
821	1
822	2
823	3
824	1
825	2
826	3
827	1
828	2
829	3
830	1
831	2
832	3
833	1
834	2
835	3
836	1
837	2
838	3
839	1
840	2
841	3
842	1
843	2
844	3
845	1
846	2
847	3
848	1
849	2
850	3
851	1
852	2
853	3
854	1
855	2
856	3
857	1
858	2
859	3
860	1
861	2
862	3
863	1
864	2
865	3
866	1
867	2
868	3
869	1
870	2
871	3
872	1
873	2
874	3
875	1
876	2
877	3
878	1
879	2
880	3
881	1
882	2
883	3
884	1
885	2
886	3
887	1
888	2
889	3
890	1
891	2
892	3
893	1
894	2
895	3
896	1
897	2
898	3
899	1
900	2
901	3
902	1
903	2
904	3
905	1
906	2
907	3
908	1
909	2
910	3
911	1
912	2
913	3
914	1
915	2
916	3
917	1
918	2
919	3
920	1
921	2
922	3
923	1
924	2
925	3
926	1
927	2
928	3
929	1
930	2
931	3
932	1
933	2
934	3
935	1
936	2
937	3
938	1
939	2
940	3
941	1
942	2
943	3
944	1
945	2
