# Gene: 5299 (AT3G04970)
# Alignment columns: 1182
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	1
1	2
2	3
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	1
58	2
59	3
60	1
61	2
62	3
63	1
64	2
65	3
66	1
67	2
68	3
69	1
70	2
71	3
72	1
73	2
74	3
75	1
76	2
77	3
78	1
79	2
80	3
81	1
82	2
83	3
84	1
85	2
86	3
87	1
88	2
89	3
90	1
91	2
92	3
93	1
94	2
95	3
96	1
97	2
98	3
99	1
100	2
101	3
102	1
103	2
104	3
105	1
106	2
107	3
108	1
109	2
110	3
111	1
112	2
113	3
114	1
115	2
116	3
117	1
118	2
119	3
120	1
121	2
122	3
123	1
124	2
125	3
126	1
127	2
128	3
129	1
130	2
131	3
132	1
133	2
134	3
135	1
136	2
137	3
138	1
139	2
140	3
141	1
142	2
143	3
144	1
145	2
146	3
147	1
148	2
149	3
150	1
151	2
152	3
153	1
154	2
155	3
156	1
157	2
158	3
159	1
160	2
161	3
162	1
163	2
164	3
165	1
166	2
167	3
168	1
169	2
170	3
171	1
172	2
173	3
174	1
175	2
176	3
177	1
178	2
179	3
180	1
181	2
182	3
183	1
184	2
185	3
186	1
187	2
188	3
189	1
190	2
191	3
192	1
193	2
194	3
195	1
196	2
197	3
198	1
199	2
200	3
201	1
202	2
203	3
204	1
205	2
206	3
207	1
208	2
209	3
210	1
211	2
212	3
213	1
214	2
215	3
216	1
217	2
218	3
219	1
220	2
221	3
222	1
223	2
224	3
225	1
226	2
227	3
228	1
229	2
230	3
231	1
232	2
233	3
234	1
235	2
236	3
237	1
238	2
239	3
240	1
241	2
242	3
243	1
244	2
245	3
246	1
247	2
248	3
249	1
250	2
251	3
252	1
253	2
254	3
255	1
256	2
257	3
258	1
259	2
260	3
261	1
262	2
263	3
264	1
265	2
266	3
267	1
268	2
269	3
270	1
271	2
272	3
273	1
274	2
275	3
276	1
277	2
278	3
279	1
280	2
281	3
282	1
283	2
284	3
285	1
286	2
287	3
288	1
289	2
290	3
291	1
292	2
293	3
294	1
295	2
296	3
297	1
298	2
299	3
300	1
301	2
302	3
303	1
304	2
305	3
306	1
307	2
308	3
309	-
310	-
311	-
312	-
313	-
314	-
315	-
316	-
317	-
318	1
319	2
320	3
321	1
322	2
323	3
324	1
325	2
326	3
327	1
328	2
329	3
330	1
331	2
332	3
333	1
334	2
335	3
336	1
337	2
338	3
339	1
340	2
341	3
342	1
343	2
344	3
345	1
346	2
347	3
348	1
349	2
350	3
351	1
352	2
353	3
354	1
355	2
356	3
357	1
358	2
359	3
360	1
361	2
362	3
363	1
364	2
365	3
366	1
367	2
368	3
369	1
370	2
371	3
372	1
373	2
374	3
375	1
376	2
377	3
378	1
379	2
380	3
381	1
382	2
383	3
384	1
385	2
386	3
387	1
388	2
389	3
390	1
391	2
392	3
393	1
394	2
395	3
396	1
397	2
398	3
399	1
400	2
401	3
402	1
403	2
404	3
405	1
406	2
407	3
408	1
409	2
410	3
411	1
412	2
413	3
414	1
415	2
416	3
417	1
418	2
419	3
420	1
421	2
422	3
423	1
424	2
425	3
426	1
427	2
428	3
429	1
430	2
431	3
432	1
433	2
434	3
435	1
436	2
437	3
438	1
439	2
440	3
441	1
442	2
443	3
444	1
445	2
446	3
447	1
448	2
449	3
450	1
451	2
452	3
453	1
454	2
455	3
456	1
457	2
458	3
459	1
460	2
461	3
462	1
463	2
464	3
465	1
466	2
467	3
468	1
469	2
470	3
471	1
472	2
473	3
474	1
475	2
476	3
477	1
478	2
479	3
480	1
481	2
482	3
483	1
484	2
485	3
486	1
487	2
488	3
489	1
490	2
491	3
492	1
493	2
494	3
495	1
496	2
497	3
498	1
499	2
500	3
501	1
502	2
503	3
504	1
505	2
506	3
507	1
508	2
509	3
510	1
511	2
512	3
513	1
514	2
515	3
516	1
517	2
518	3
519	1
520	2
521	3
522	1
523	2
524	3
525	1
526	2
527	3
528	1
529	2
530	3
531	1
532	2
533	3
534	1
535	2
536	3
537	1
538	2
539	3
540	1
541	2
542	3
543	1
544	2
545	3
546	1
547	2
548	3
549	1
550	2
551	3
552	1
553	2
554	3
555	1
556	2
557	3
558	1
559	2
560	3
561	1
562	2
563	3
564	1
565	2
566	3
567	1
568	2
569	3
570	1
571	2
572	3
573	1
574	2
575	3
576	1
577	2
578	3
579	1
580	2
581	3
582	1
583	2
584	3
585	1
586	2
587	3
588	1
589	2
590	3
591	1
592	2
593	3
594	1
595	2
596	3
597	1
598	2
599	3
600	1
601	2
602	3
603	1
604	2
605	3
606	1
607	2
608	3
609	1
610	2
611	3
612	1
613	2
614	3
615	-
616	-
617	1
618	2
619	3
620	1
621	2
622	3
623	1
624	2
625	3
626	1
627	2
628	3
629	1
630	2
631	3
632	1
633	2
634	3
635	1
636	2
637	3
638	1
639	2
640	3
641	1
642	2
643	3
644	1
645	2
646	3
647	1
648	2
649	3
650	1
651	2
652	3
653	1
654	2
655	3
656	1
657	2
658	3
659	1
660	2
661	3
662	1
663	2
664	3
665	1
666	2
667	3
668	1
669	2
670	3
671	1
672	2
673	3
674	1
675	2
676	3
677	1
678	2
679	3
680	1
681	2
682	3
683	1
684	2
685	3
686	1
687	2
688	3
689	1
690	2
691	3
692	1
693	2
694	3
695	1
696	2
697	3
698	1
699	2
700	3
701	1
702	2
703	3
704	1
705	2
706	3
707	1
708	2
709	3
710	1
711	2
712	3
713	1
714	2
715	3
716	1
717	2
718	3
719	1
720	2
721	3
722	1
723	2
724	3
725	1
726	2
727	3
728	1
729	2
730	3
731	1
732	2
733	3
734	1
735	2
736	3
737	1
738	2
739	3
740	1
741	2
742	3
743	1
744	2
745	3
746	1
747	2
748	3
749	1
750	2
751	3
752	1
753	2
754	3
755	1
756	2
757	3
758	1
759	2
760	3
761	1
762	2
763	3
764	1
765	2
766	3
767	1
768	2
769	3
770	1
771	2
772	3
773	1
774	2
775	3
776	1
777	2
778	3
779	1
780	2
781	3
782	1
783	2
784	3
785	1
786	2
787	3
788	1
789	2
790	3
791	1
792	2
793	3
794	1
795	2
796	3
797	1
798	2
799	3
800	1
801	2
802	3
803	1
804	2
805	3
806	1
807	2
808	3
809	1
810	2
811	3
812	1
813	2
814	3
815	1
816	2
817	3
818	1
819	2
820	3
821	1
822	2
823	3
824	1
825	2
826	3
827	1
828	2
829	3
830	1
831	2
832	3
833	1
834	2
835	3
836	1
837	2
838	3
839	1
840	2
841	3
842	1
843	2
844	3
845	1
846	2
847	3
848	1
849	2
850	3
851	1
852	2
853	3
854	1
855	2
856	3
857	1
858	2
859	3
860	1
861	2
862	3
863	1
864	2
865	3
866	1
867	2
868	3
869	1
870	2
871	3
872	1
873	2
874	3
875	1
876	2
877	3
878	1
879	2
880	3
881	1
882	2
883	3
884	1
885	2
886	3
887	1
888	2
889	3
890	1
891	2
892	3
893	1
894	2
895	3
896	1
897	2
898	3
899	1
900	2
901	3
902	1
903	2
904	3
905	1
906	2
907	3
908	1
909	2
910	3
911	1
912	2
913	3
914	1
915	2
916	3
917	1
918	2
919	3
920	1
921	2
922	3
923	1
924	2
925	3
926	1
927	2
928	3
929	1
930	2
931	3
932	1
933	2
934	3
935	1
936	2
937	3
938	1
939	2
940	3
941	1
942	2
943	3
944	1
945	2
