# Gene: 6601 (AT1G45110)
# Alignment columns: 844
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	-
1	-
2	-
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	1
58	2
59	3
60	1
61	2
62	3
63	1
64	2
65	3
66	1
67	2
68	3
69	1
70	2
71	3
72	1
73	2
74	3
75	1
76	2
77	3
78	1
79	2
80	3
81	1
82	2
83	3
84	1
85	2
86	3
87	1
88	2
89	3
90	1
91	2
92	3
93	1
94	2
95	3
96	1
97	2
98	3
99	1
100	2
101	3
102	1
103	2
104	3
105	1
106	2
107	3
108	1
109	2
110	3
111	1
112	2
113	3
114	1
115	2
116	3
117	1
118	2
119	3
120	1
121	2
122	3
123	1
124	2
125	3
126	1
127	2
128	3
129	1
130	2
131	3
132	1
133	2
134	3
135	1
136	2
137	3
138	1
139	2
140	3
141	1
142	2
143	3
144	1
145	2
146	3
147	1
148	2
149	3
150	1
151	2
152	3
153	1
154	2
155	3
156	1
157	2
158	3
159	1
160	2
161	3
162	-
163	-
164	-
165	1
166	2
167	3
168	1
169	2
170	3
171	1
172	2
173	3
174	1
175	2
176	3
177	1
178	2
179	3
180	1
181	2
182	3
183	1
184	2
185	3
186	1
187	2
188	3
189	1
190	2
191	3
192	1
193	2
194	3
195	1
196	2
197	3
198	1
199	2
200	3
201	1
202	2
203	3
204	1
205	2
206	3
207	1
208	2
209	3
210	1
211	2
212	3
213	1
214	2
215	3
216	1
217	2
218	3
219	1
220	2
221	3
222	1
223	2
224	3
225	1
226	2
227	3
228	1
229	2
230	3
231	1
232	2
233	3
234	1
235	2
236	3
237	1
238	2
239	3
240	1
241	2
242	3
243	1
244	2
245	3
246	1
247	2
248	3
249	1
250	2
251	3
252	1
253	2
254	3
255	1
256	2
257	3
258	1
259	2
260	3
261	1
262	2
263	3
264	1
265	2
266	3
267	1
268	2
269	3
270	1
271	2
272	3
273	1
274	2
275	3
276	1
277	2
278	3
279	1
280	2
281	3
282	1
283	2
284	3
285	1
286	2
287	3
288	1
289	2
290	3
291	1
292	2
293	3
294	1
295	2
296	3
297	1
298	2
299	3
300	1
301	2
302	3
303	1
304	2
305	3
306	1
307	2
308	3
309	1
310	2
311	3
312	1
313	2
314	3
315	1
316	2
317	3
318	1
319	2
320	3
321	1
322	2
323	3
324	1
325	2
326	3
327	1
328	2
329	3
330	1
331	2
332	3
333	1
334	2
335	3
336	1
337	2
338	3
339	1
340	2
341	3
