# Gene: 6265 (EMB2804)
# Alignment columns: 712
# Annotation key: 1/2/3=codon position, U=UTR/non-CDS, -=gap
col_index	codon_pos
0	1
1	2
2	3
3	1
4	2
5	3
6	1
7	2
8	3
9	1
10	2
11	3
12	1
13	2
14	3
15	1
16	2
17	3
18	1
19	2
20	3
21	1
22	2
23	3
24	1
25	2
26	3
27	1
28	2
29	3
30	1
31	2
32	3
33	1
34	2
35	3
36	1
37	2
38	3
39	1
40	2
41	3
42	1
43	2
44	3
45	1
46	2
47	3
48	1
49	2
50	3
51	1
52	2
53	3
54	1
55	2
56	3
57	1
58	2
59	3
60	1
61	2
62	3
63	1
64	2
65	3
66	1
67	2
68	3
69	1
70	2
71	3
72	1
73	2
74	3
75	1
76	2
77	3
78	1
79	2
80	3
81	1
82	2
83	3
84	1
85	2
86	3
87	1
88	2
89	3
90	1
91	2
92	3
93	1
94	2
95	3
96	1
97	2
98	3
99	1
100	2
101	3
102	1
103	2
104	3
105	1
106	2
107	3
108	1
109	2
110	3
111	1
112	2
113	3
114	1
115	2
116	3
117	1
118	2
119	3
120	1
121	2
122	3
123	1
124	2
125	3
126	1
127	2
128	3
129	1
130	2
131	3
132	1
133	2
134	3
135	1
136	2
137	3
138	1
139	2
140	3
141	1
142	2
143	3
144	1
145	2
146	3
147	1
148	2
149	3
150	1
151	2
152	3
153	1
154	2
155	3
156	1
157	2
158	3
159	1
160	2
161	3
162	1
163	2
164	3
165	1
166	2
167	3
168	1
169	2
170	3
171	1
172	2
173	3
174	1
175	2
176	3
177	1
178	2
179	3
180	1
181	2
182	3
183	1
184	2
185	3
186	1
187	2
188	3
189	1
190	2
191	3
192	1
193	2
194	3
195	1
196	2
197	3
198	1
199	2
200	3
201	1
202	2
203	3
204	1
205	2
206	3
207	1
208	2
209	3
210	1
211	2
212	3
213	1
214	2
215	3
216	1
217	2
218	3
219	1
220	2
221	3
222	1
223	2
224	3
225	1
226	2
227	3
228	1
229	2
230	3
231	1
232	2
233	3
234	1
235	2
236	3
237	1
238	2
239	3
240	1
241	2
242	3
243	1
244	2
245	3
246	1
247	2
248	3
249	1
250	2
251	3
252	1
253	2
254	3
255	1
256	2
257	3
258	1
259	2
260	3
261	1
262	2
263	3
264	1
265	2
266	3
267	1
268	2
269	3
270	1
271	2
272	3
273	1
274	2
275	3
276	1
277	2
278	3
279	1
280	2
281	3
282	1
283	2
284	3
285	1
286	2
287	3
288	1
289	2
290	3
291	1
292	2
293	3
294	1
295	2
296	3
297	1
298	2
299	3
300	1
301	2
302	3
303	1
304	2
305	3
306	1
307	2
308	3
309	1
310	2
311	3
312	1
313	2
314	3
315	1
316	2
317	3
318	1
319	2
320	3
321	1
322	2
323	3
324	1
325	2
326	3
327	1
328	2
329	3
330	1
331	2
332	3
333	1
334	2
335	3
336	1
337	2
338	3
339	1
340	2
341	3
342	1
343	2
344	3
345	1
346	2
347	3
348	1
349	2
350	3
351	1
352	2
353	3
354	1
355	2
356	3
357	1
358	2
359	3
360	1
361	2
362	3
363	1
364	2
365	3
366	1
367	2
368	3
369	1
370	2
371	3
372	1
373	2
374	3
375	1
376	2
377	3
378	1
379	2
380	3
381	1
382	2
383	3
384	1
385	2
386	3
387	1
388	2
389	3
390	1
391	2
392	3
393	1
394	2
395	3
396	-
397	-
398	-
399	-
400	-
401	1
402	2
403	3
404	-
405	-
406	-
407	1
408	2
409	3
410	1
411	2
412	3
413	1
414	2
415	3
416	1
417	2
418	3
419	1
420	2
421	3
422	1
423	2
424	3
425	1
426	2
427	3
428	1
429	2
430	3
431	1
432	2
433	3
434	1
435	2
436	3
437	1
438	2
439	3
440	1
441	2
442	3
443	1
444	2
445	3
446	1
447	2
448	3
449	1
450	2
451	3
452	1
453	2
454	3
455	1
456	2
457	3
458	1
459	2
460	3
461	1
462	2
463	3
464	1
465	2
466	3
467	1
468	2
469	3
470	1
471	2
472	3
473	1
474	2
475	3
476	1
477	2
478	3
479	1
480	2
481	3
482	1
483	2
484	3
485	1
486	2
487	3
488	1
489	2
490	3
491	1
492	2
493	3
494	1
495	2
496	3
497	1
498	2
499	3
500	1
501	2
502	3
503	1
504	2
505	3
506	1
507	2
508	3
509	1
510	2
511	3
512	1
513	2
514	3
515	1
516	2
517	3
518	1
519	2
520	3
521	1
522	2
523	3
524	1
525	2
526	3
527	1
528	2
529	3
530	1
531	2
532	3
533	1
534	2
535	3
536	1
537	2
538	3
539	1
540	2
541	3
542	1
543	2
544	3
545	1
546	2
547	3
548	1
549	2
550	3
551	1
552	2
553	3
554	1
555	2
556	3
557	1
558	2
559	3
560	1
561	2
562	3
563	1
564	2
565	3
566	1
567	2
568	3
569	1
570	2
571	3
572	1
573	2
574	3
575	1
576	2
577	3
578	1
579	2
580	3
581	1
582	2
583	3
584	1
585	2
586	3
587	1
588	2
589	3
590	1
591	2
592	3
593	1
594	2
595	3
596	1
597	2
598	3
599	1
600	2
601	3
602	1
603	2
604	3
605	1
606	2
607	3
608	1
609	2
610	3
611	1
612	2
613	3
614	1
615	2
616	3
617	1
618	2
619	3
620	1
621	2
622	3
623	1
624	2
625	3
626	1
627	2
628	3
629	1
630	2
631	3
632	1
633	2
634	3
635	1
636	2
637	3
638	1
639	2
640	3
641	1
642	2
643	3
644	1
645	2
646	3
647	1
648	2
649	3
650	1
651	2
652	3
653	1
654	2
655	3
656	1
657	2
658	3
659	1
660	2
661	3
662	-
663	-
664	1
665	2
666	3
667	1
668	2
669	3
670	1
671	2
672	3
673	1
674	2
675	3
676	1
677	2
678	3
679	1
680	2
681	3
682	1
683	2
684	3
685	1
686	2
687	3
688	1
689	2
690	3
691	1
692	2
693	3
694	-
695	-
696	-
697	-
698	-
699	-
700	1
701	2
702	3
703	1
704	2
705	3
706	1
707	2
708	3
709	1
710	2
711	3
